ID,species,tarsus,ulna,cv.skull.1,second_digit,sclerotic_ring,metatarsus,cv.keel.1,humerus,cv.furcula.1,femur,carpometacarpus,radius
UMMZ_217746,Carpodacus_cassinii,28.42,22.72,28.99,6.82,5.975,18.075,22.46,18.99,16.66,17.9,12.655,21.01
UMMZ_217747,Pinicola_enucleator,38.74,29.02,38.75,9.08,8.07,23.8834895685806,27.0464979785371,24.77,21.3864981153434,24.46,17.7824199586859,25.98
UMMZ_217748,Pinicola_enucleator,38.585,30.84,35.94,8.27,7.81,23.7128214678343,26.91,23.96,20.8989523249219,24.13,17.225,26.62
UMMZ_217749,Junco_hyemalis,27.81,20.1838584804148,25.87,5.33,6.375,18.65,15.65,17.66,13.8003691183632,16.324893966308,10.835,18.0987788617406
UMMZ_217750,Zonotrichia_leucophrys,31.69,21.1057015719416,31.64,5.73827348469514,6.46,22.965,16.8,19.0631106905861,15.5187284400178,19.405,13.18,18.6899382203396
UMMZ_217751,Pycnonotus_jocosus,29.215,21.83,34.95,5.24400461023727,6.96,21.2402827576543,16.88,19.07,15.4582610097996,17.865,11.2,19.3769627072751
UMMZ_217752,Chloropsis_hardwickii,31.375,26.9062229161451,41.05,6.41,7.445,19.8886864565567,23.6,22.98,18.5964869311117,20.685,14.87,24.0417676396319
UMMZ_217753,Chloropsis_hardwickii,30.675,26.55,40.44,6.58,7.42,17.66,21.42,22.635,18.2888985163605,20.39,14.53040110956,23.7342063111558
UMMZ_217754,Dicrurus_paradiseus,46.255,48.0269552512727,62.59,10.75,12.28,28.8,32.97,36.97,24.2909586393126,28.555,24.66,43.8666613992186
UMMZ_217755,Cissa_chinensis,66.49,41.52,64.72,10.1569986154646,12.5,44.57,28.26,36.235,25.6598575406786,38.335,24.25,36.95
UMMZ_217756,Leiothrix_argentauris,33.25,18.968496348848,33.2,5.04776129980539,7.255,25.295,15.55,17.275,14.5002354631922,18.96,9.72,16.7112100624157
UMMZ_217757,Minla_cyanouroptera,29.755,17.0519663314115,32.51,4.80418254851057,6.49,21.83,12.76,15.25,13.561589101476,16.98,10.1172166852529,15.0668209218482
UMMZ_217758,Minla_cyanouroptera,31.575,17.9773225947112,32.67,5.06323030699061,6.645,23.7733489865252,13.67,16.12,14.1186171170234,17.35,10.6206306728275,15.9469196997508
UMMZ_217759,Heterophasia_capistrata,40.62,24.45,42.34,7.30545639121339,8.155,29.9518080563121,19.64,22.19,18.4934828996847,23.065,16.81,21.7705809487677
UMMZ_217760,Luscinia_calliope,36.72,21.01,32.87,5.66,7.28,29.2831894849285,15,17.275,15.6422394564507,19.115,11.495,18.5984571960367
UMMZ_217761,Copsychus_saularis,38.25,28.635,39.92,7.05133147644546,8.705,31.275,20.9272915153461,23.525,18.5380341395112,21.54,14.47,25.4084006408759
UMMZ_217762,Copsychus_malabaricus,33.74,26.66,36.81,6.35170274496367,8.78,26.27,20.51,21.04,17.0200734686193,19.385,13.58,23.6276648064178
UMMZ_217763,Cyanerpes_lucidus,21.625,16.6198246195857,30.01,4.55027702460112,5.785,15.19,11.8,13.87,12.6448486140506,13.81,9.67,14.5
UMMZ_217765,Euphonia_imitans,23.34,18.13,25.81,5.48902081856932,6.055,18.3,12.34,14.49,13.2742704445761,13.96,13,16.4972480282387
UMMZ_217766,Tangara_guttata,26.045,19.9041406204687,30.46,5.49938178523882,6.495,19.525,16.36,16.49,14.6691645671682,16.19,11.97,17.6263401297955
UMMZ_217767,Tangara_guttata,27.06,18.43,27.83,5.28272880782004,6.38,18.8997468789292,14.9,16.665,14.3576697812939,16.92,10.93,16.5164368617882
UMMZ_217768,Tangara_guttata,26.99,19.8852789421116,29.56,5.40163191279488,6.96,19.2624621447614,15.47,16.825,14.7102530177158,16.925,11.099263590159,17.5807576419274
UMMZ_217798,Bombycilla_garrulus,34.11,29.7385371590623,36.59,9.74875770067442,7.92756032083312,21.275,27.9943361461211,24.14,21.7830800772861,23.03,18.0250812482571,26.065206376534
UMMZ_217800,Sayornis_phoebe,24.955,24.055,35.27,6.12809549520552,7.59672907593653,20.63,18.16,20.04,15.3801928535992,15.01,13.7053858987294,22.7712063592291
UMMZ_217802,Hylocichla_mustelina,42.995,30.425,39.03,8.73874720343373,9.835,31.115,25.03,24.17,21.1690315667718,23.37,16.6,26.6146434858382
UMMZ_217934,Lagonosticta_senegala,18.935,15.3889935447142,21.01,4.69188433140906,4.64728280732202,13.34,13.6281972149753,13.7,12.25,12.65,9.39416882728328,13.6201498396813
UMMZ_217935,Passerina_cyanea,24.105,18.3,26,5.74,6,17.0169692467672,15.19,16.06,13.8276187558668,15.05,10.33,17.15
UMMZ_217936,Lonchura_striata,21.89,16.4218887061107,21.94,4.5557578745034,5.11,14.8980035705806,15.9,14.155,13.6227113130674,13.91,9.24366802361469,14.6001916455526
UMMZ_217937,Molothrus_ater,37.73,27.2,34.73,8.87282743147167,7.385,27.925,28.58,23.62,20.6789949872649,21.965,19.95,24.0883417592565
UMMZ_217938,Lagonosticta_senegala,17.115,13.7485516158342,18.02,4.21543113060897,4.371236726882,12.3747259915869,13.49,11.93,11.262550647588,11.025,8.4727212445823,12.1854441076029
UMMZ_217939,Lagonosticta_senegala,18.42,14.2811934716251,18.5,4.38074221269112,4.27,11.91,12.37,12.68,11.6511005612164,12.18,8.77974978220826,12.6828850168658
UMMZ_217940,Microcerculus_marginatus,30.8,18.51,37.91,4.73847645659546,6.77,22.75,14.9,17.05,13.41,18.805,10.51,16.4223390464013
UMMZ_217944,Amandava_amandava,19.74,15.0369745295442,18.36,4.73518745569032,4.39,15.25,15.07,13.02,12.22689029776,12.7297953805936,9.18604678680231,13.3040928624593
UMMZ_217950,Melospiza_melodia,35.34,20.3588450625299,32.56,5.31686162573509,7.15,24.105,17.27,19.52,15.8242117935379,20.96,11.693460469392,17.9625330311763
UMMZ_218060,Myiophobus_fasciatus,20.9,18.1734510371383,28.42,4.26321890037037,5.86599867528199,15.59,13.3671712512688,14.395,12.4066406201313,12.24,9.56050683903703,16.5497769749241
UMMZ_218061,Elaenia_flavogaster,27.87,24.105,31.61,5.84868902788523,6.94226258146941,19.87,16.12,19.95,17.07,18.25,12.69,21.8483862900878
UMMZ_218062,Elaenia_flavogaster,28.795,25.06,30.54,6.24120408786137,7.01329462139635,19.69,22.5,21,16.27,18.19,13.7030508544755,23.705
UMMZ_218063,Troglodytes_aedon,25.295,16.2437407225936,31.1,4.26293130197594,6.11725904547493,19.28,12.99,15.55,12.603485391725,15.905,9.55701097685411,14.5366522101079
UMMZ_218064,Troglodytes_aedon,26.27,16.2006964514291,31.21,4.2826377360957,6.1495916899122,18.89,14.9,15.26,12.6655219512184,16.315,9.53191898906388,14.4610805139275
UMMZ_218065,Hylophilus_flavipes,24.135,16.97,26.74,4.43187956792937,7.91,18.975,12.95,15.51,12.5746903623984,13.86,9.51798431377843,15.43
UMMZ_218067,Hylophilus_flavipes,24.735,17.55,27.19,4.42510991819786,5.825,18.7806560084246,12.1716308184267,15.64,12.66,14.715,9.37,15.794772382008
UMMZ_218068,Euphonia_laniirostris,23.395,18.2165111189979,25.8,4.52,5.645,15.4317105387581,13.07,15.17,13.2802003718662,14.02,10.0057920396867,16.2121434179064
UMMZ_218069,Thraupis_episcopus,29.45,25.4446827835388,28.44,7.02664775639873,7.11,19.7881384922957,23.5,21.11,16.83,18.255,14.1966870138303,22.5235039930897
UMMZ_218070,Thraupis_palmarum,32.12,28.3284283774655,34.11,7.73445920168389,7.6013423946066,21.04,23.29,23.775,18.8567497059615,20.21,15.7323922000307,25.1511982505866
UMMZ_218071,Ramphocelus_dimidiatus,31.69,24.3648830367363,33.96,5.79984060851406,7.16,22.3016089578532,15.81,20.895,16.5152326025351,19.085,12.44,21.8302165130537
UMMZ_218072,Ramphocelus_dimidiatus,30.8,24.1640829185699,32.22,5.72,7.93,21.145,17.91,20.56,16.41,18.05,12.33,21.6373520668744
UMMZ_218073,Ramphocelus_dimidiatus,31.73,25.69,35.28,5.86178321437971,7.51,22.11,20.58,20.64,17.07,18.875,11.85,23.05
UMMZ_218074,Ramphocelus_dimidiatus,31.32,24.2985719747852,34.02,5.85,7.46846609704534,22.2162715865675,18.02,20.485,16.5504276117833,18.8979943638574,12.5365968651333,21.7212163936607
UMMZ_218075,Ramphocelus_dimidiatus,31.975,23.885,34.18,6.07,7.64,23.84,18.72,20.4,16.7058295919852,19.285,12.6340536986971,21.4548147745569
UMMZ_218076,Tachyphonus_rufus,31.53,24.42,32.97,6.36646813464156,7.245,21.59,18.8012272691057,19.935,16.1126089157322,19.06,14.76,20.67
UMMZ_218077,Saltator_striatipectus,36.205,27.42,38.25,6.73579443947937,9.94,24.37,22.2535984442141,23.985,18.7136905321725,21.855,14.6831092056059,25.47
UMMZ_218078,Saltator_striatipectus,35.11,28.095,35.97,6.67,8.45,24.295,19.68,23.745,17.86,21.8,14.09,23.99
UMMZ_218079,Saltator_striatipectus,34.705,28.1704604337565,37.18,6.9,8.59,24.96,22.0616812639088,23.785,18.4593638629331,21.96,14.776837779447,25.1982098767415
UMMZ_218080,Saltator_striatipectus,34.265,27.0764389064056,37.04,6.32,7.93,24.34,21.1094505261125,22.9,17.8008383038869,21.44,13.84,24.1262540449715
UMMZ_218081,Cyanocompsa_cyanoides,30.15,24.02,34.8,5.66,7.595,21.65,19.7004224842386,20.34,17.48,18.885,12.7,21.48
UMMZ_218085,Arremonops_conirostris,39.295,22.65,34.93,4.5,7.93775527551831,29.155,21.59,22,16.4942560311514,23.365,11.954336164226,19.912623919736
UMMZ_218090,Calyptomena_viridis,34.615,36.31,43.2,7.79,11.74,22.9855746825869,21.77,28.03,22.1119954669768,24.255,18.1068579043511,32.6980481196539
UMMZ_218091,Dicaeum_trigonostigma,18.7647899294627,15.1871304873993,22.74,3.92867844914233,5.13,13.169407009764,11.2001114536673,12.12,11.180183522667,10.68,8.51111644809823,16.34
UMMZ_218092,Anthreptes_singalensis,21.0586011608289,16.1682322235726,25.11,4.20286893750127,5.01392764705012,16.2845475193068,11.14,13.605,11.1131338204946,12.18,8.74544087448328,14.5935395551645
UMMZ_218093,Anthreptes_singalensis,19.86,15.0935823472766,23.4,3.91073632994406,5.07,15.3081543712367,8.78,12.81,10.4451836044157,10.62,8.19467455940981,13.6780331558924
UMMZ_218094,Anthreptes_singalensis,20.695,15.8955514341637,23.99,4.17385074141388,5.39,15.9357873789226,14.24,13.02,10.9500873839161,10.885,8.56218340254459,14.3467975044136
UMMZ_218095,Anthreptes_singalensis,20.3570813190093,15.6783248998619,24.48,4.04749070594135,4.995,15.7274457228102,10.7,13.28,10.7684279302096,11.12,8.2,14.1660192682767
UMMZ_218096,Anthreptes_singalensis,19.52,15.7365654641566,25.99,4.06461846125566,4.965,16.51,10.34,13.2136168807489,10.8687597208794,11.92,8.5461473326572,14.147033228631
UMMZ_218097,Anthreptes_singalensis,20.34,15.7935481214362,24.48,4.1474651049087,4.94596498713026,16.22,11.3771423916904,13.11,11.58,11.055,8.58332074930336,14.3485918352569
UMMZ_218098,Chlorochrysa_phoenicotis,27.835,19.63,30.74,5.67,7.87,20.3367678329782,13.37,16.92,14.5551773929282,16.51,11.92,18.24
UMMZ_218099,Vidua_purpurascens,21.345,19.31,21.57,5.99,5.38,15.78,18.08,16.195,13.8824710237953,13.46,10.615,17.1635594042299
UMMZ_218100,Vidua_purpurascens,21.38,19.1267659752436,20.9,5.33140096474241,5.815,15.53,16.6,16.525,13.7931115301256,13.74,10.195,16.9252074851898
UMMZ_218101,Vidua_purpurascens,21.02,18.5874989659736,20.81,4.78,5.56,14.9149452949277,17.32,15.905,13.4325260712917,13.48,10.0979956579231,16.3483327961753
UMMZ_218102,Vidua_chalybeata,20.44,18.59,20.32,5.03,5.425,14.09,16.24,16,13.5222340950476,12.92,12.75,16.63
UMMZ_218103,Passer_eminibey,22.86,17.6647950785592,23.52,5.25287354493067,5.08,16.0563372205438,15.6819154833414,15.34,13.2326254801514,13.965,10.085933084826,15.4630367773853
UMMZ_218104,Pytilia_phoenicoptera,22.085,17.215,23.93,5.20490065745719,5.13,16.035,19.43,15.505,14.211117945334,14.785,11.15,15.1915378834433
UMMZ_218105,Lagonosticta_senegala,18.13,15.3498448281968,18.27,5.15329370834769,4.94,13.5821986772083,12.2,12.895,25.51,12.27,10.0025623805214,14.4060850157695
UMMZ_218106,Lagonosticta_senegala,17.56,14.1208228092217,19.0566648621799,4.31330947789495,4.44156215712274,12.6934019296401,12.3978577549393,12.4090428072101,11.5276941144315,11.32,8.68961787474117,12.5214197592072
